street address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
"1412 TEMPLE, St. Louis, MO",38.668383,-90.278085,1,rooftop,1412,Temple Pl,Saint Louis,MO,St. Louis city,63112,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"849 RIVERTRAIL, St. Louis, MO",38.72869,-90.224071,1,rooftop,849,Rivertrail Ct,Saint Louis,MO,St. Louis city,63137,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"5720 NATURAL BRIDGE, St. Louis, MO",38.684517,-90.269205,0.9,range_interpolation,5720,State Hwy 115,Saint Louis,MO,St. Louis city,63120,US,TIGER/LineÂ® dataset from the US Census Bureau
"3224 MINNESOTA, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"3230 TENNYSON, St. Louis, MO",38.607646,-90.314175,1,rooftop,3230,Tennyson Sq,Saint Louis,MO,St. Louis city,63143,US,City of St Louis
"999 2ND, St. Louis, MO",38.632858,-90.184094,0.9,rooftop,999,N 2nd St,Saint Louis,MO,St. Louis city,63102,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"4312 SWAN, St. Louis, MO",38.625771,-90.25724,0.6,rooftop,4312,Swan Ave,Saint Louis,MO,St. Louis city,63110,US,City of St Louis
"1127 VANDEVENTER, St. Louis, MO",38.647474,-90.235441,0.5,rooftop,1127,N Vandeventer Ave,Saint Louis,MO,St. Louis city,63113,US,City of St Louis
"1 BROADWAY, St. Louis, MO",38.62598,-90.190408,0.9,rooftop,1,N Broadway,Saint Louis,MO,St. Louis city,63102,US,City of St Louis
"1800 MARKET, St. Louis, MO",38.628156,-90.208248,1,rooftop,1800,Market St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"5454 GRESHAM, St. Louis, MO",38.574447,-90.289222,1,rooftop,5454,Gresham St,Saint Louis,MO,St. Louis city,63109,US,City of St Louis
"1515 ARLINGTON, St. Louis, MO",38.66803,-90.270669,0.6,rooftop,1515,Arlington Ave,Saint Louis,MO,St. Louis city,63112,US,City of St Louis
"4535 GRAVOIS, St. Louis, MO",38.438472,-90.3104,1,range_interpolation,4535,Gravois Rd,Saint Louis,MO,St. Louis County,63129,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"3915 SHREVE, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"4001 SHREVE, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"6800 VIRGINIA, St. Louis, MO",38.55549,-90.25502,0.6,rooftop,6800,Virginia Ave,Saint Louis,MO,St. Louis city,63111,US,City of St Louis
"906 EICHELBERGER, St. Louis, MO",38.568744,-90.250406,0.6,rooftop,906,Eichelberger St,Saint Louis,MO,St. Louis city,63111,US,City of St Louis
"3187 MORGANFORD, St. Louis, MO",38.601356,-90.261749,1,range_interpolation,3187,Morganford Rd,Saint Louis,MO,St. Louis city,63116,US,TIGER/LineÂ® dataset from the US Census Bureau
"3825 MINNESOTA, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"3825 MINNESOTA, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"800 WASHINGTON, St. Louis, MO",38.630536,-90.193023,0.6,rooftop,800,Washington Ave,Saint Louis,MO,St. Louis city,63101,US,City of St Louis
"3933 BROADWAY, St. Louis, MO",38.583466,-90.228244,0.9,rooftop,3933,S Broadway,Saint Louis,MO,St. Louis city,63118,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"919 JEFFERSON, St. Louis, MO",38.515131,-90.299356,1,range_interpolation,919,Jeffersonian Dr,Saint Louis,MO,St. Louis County,63125,US,TIGER/LineÂ® dataset from the US Census Bureau
"315 9TH, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"4165 FLAD, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"3500 MIAMI, St. Louis, MO",38.591474,-90.242633,1,rooftop,3500,Miami St,Saint Louis,MO,St. Louis city,63118,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"5744 GOODFELLOW, St. Louis, MO",38.681912,-90.272127,1,range_interpolation,5744,Goodfellow Pl,Saint Louis,MO,St. Louis city,63120,US,TIGER/LineÂ® dataset from the US Census Bureau
"3430 GRAND, St. Louis, MO",38.632965,-90.232442,0.8,range_interpolation,3430,Grand Forest Dr,Saint Louis,MO,St. Louis city,63103,US,TIGER/LineÂ® dataset from the US Census Bureau
"6320 ARSENAL, St. Louis, MO",38.607379,-90.295518,1,rooftop,6320,Arsenal St,Saint Louis,MO,St. Louis city,63139,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"5913 FYLER, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"3642 LACLEDE, St. Louis, MO",38.634419,-90.23545,0.6,rooftop,3642,Laclede Ave,Saint Louis,MO,St. Louis city,63108,US,City of St Louis
"3959 MCDONALD, St. Louis, MO",38.597409,-90.25263,0.6,rooftop,3959,McDonald Ave,Saint Louis,MO,St. Louis city,63116,US,City of St Louis
"5711 THEODOSIA, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"4552 DURANT, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"3350 GOODFELLOW, St. Louis, MO",38.683339,-90.271761,0.6,rooftop,3350,Goodfellow Blvd,Saint Louis,MO,St. Louis city,63120,US,City of St Louis
"3113 CHIPPEWA, St. Louis, MO",38.587577,-90.236488,1,rooftop,3113,Chippewa St,Saint Louis,MO,St. Louis city,63118,US,City of St Louis
"3113 MINNESOTA, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"3113 MINNESOTA, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"7405 MICHIGAN, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"4958 THRUSH, St. Louis, MO",38.695178,-90.254025,0.6,rooftop,4958,Thrush Ave,Saint Louis,MO,St. Louis city,63120,US,City of St Louis
"6651 CHIPPEWA, St. Louis, MO",38.590679,-90.306364,1,rooftop,6651,Chippewa St,Saint Louis,MO,St. Louis city,63109,US,City of St Louis
"418 TUCKER, St. Louis, MO",38.630964,-90.19659,0.5,rooftop,418,N Tucker Blvd,Saint Louis,MO,St. Louis city,63101,US,City of St Louis
"4450 LEXINGTON, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"5831 PAMPLIN, St. Louis, MO",38.711035,-90.251919,0.6,rooftop,5831,Pamplin Ave,Saint Louis,MO,St. Louis city,63147,US,City of St Louis
"5920 LINDBERGH, St. Louis, MO",38.521147,-90.346201,0.9,range_interpolation,5920,Lindburgh,Saint Louis,MO,St. Louis County,63123,US,TIGER/LineÂ® dataset from the US Census Bureau
"538 FASSEN, St. Louis, MO",38.565948,-90.247296,1,rooftop,538,Fassen St,Saint Louis,MO,St. Louis city,63111,US,City of St Louis
"5020 KENSINGTON, St. Louis, MO",38.65364,-90.264099,0.6,rooftop,5020,Kensington Ave,Saint Louis,MO,St. Louis city,63108,US,City of St Louis
"4611 ST FERDINAND, St. Louis, MO",38.663457,-90.248486,1,rooftop,4611,St Ferdinand Ave,Saint Louis,MO,St. Louis city,63113,US,City of St Louis
"733 VANDEVENTER, St. Louis, MO",38.630032,-90.245874,0.5,rooftop,733,S Vandeventer Ave,Saint Louis,MO,St. Louis city,63110,US,City of St Louis
"919 JEFFERSON, St. Louis, MO",38.515131,-90.299356,1,range_interpolation,919,Jeffersonian Dr,Saint Louis,MO,St. Louis County,63125,US,TIGER/LineÂ® dataset from the US Census Bureau
"1820 DELMAR, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"430 15TH, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"8520 CONCORD, St. Louis, MO",38.717591,-90.230275,1,rooftop,8520,Concord Pl,Saint Louis,MO,St. Louis city,63147,US,City of St Louis
"8520 CONCORD, St. Louis, MO",38.717591,-90.230275,1,rooftop,8520,Concord Pl,Saint Louis,MO,St. Louis city,63147,US,City of St Louis
"7005 WEIL, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"2338 PARK, St. Louis, MO",38.617715,-90.219556,0.6,rooftop,2338,Park Ave,Saint Louis,MO,St. Louis city,63104,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"5969 WABADA, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"5969 WABADA, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"7861 TENNESSEE, St. Louis, MO",38.551577,-90.269152,1,rooftop,7861,Tennessee Pl,Saint Louis,MO,St. Louis city,63111,US,City of St Louis
"2615 WASHINGTON, St. Louis, MO",38.63549,-90.214016,0.6,rooftop,2615,Washington Ave,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"4530 HOLLY, St. Louis, MO",38.677957,-90.225091,0.6,rooftop,4530,Holly Ave,Saint Louis,MO,St. Louis city,63115,US,City of St Louis
"5010 UNION, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"315 9TH, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"1400 GRAND, St. Louis, MO",38.511023,-90.293175,0.9,range_interpolation,1400,Granda Dr,Saint Louis,MO,St. Louis County,63125,US,TIGER/LineÂ® dataset from the US Census Bureau
"1400 GRAND, St. Louis, MO",38.511023,-90.293175,0.9,range_interpolation,1400,Granda Dr,Saint Louis,MO,St. Louis County,63125,US,TIGER/LineÂ® dataset from the US Census Bureau
"4823 SAN FRANCISCO, St. Louis, MO",38.675847,-90.245303,0.6,rooftop,4823,San Francisco Ave,Saint Louis,MO,St. Louis city,63115,US,City of St Louis
"1949 LYNCH, St. Louis, MO",38.601745,-90.217889,1,rooftop,1949,Lynch St,Saint Louis,MO,St. Louis city,63118,US,City of St Louis
"3315 JEFFERSON, St. Louis, MO",38.594629,-90.2256,0.5,rooftop,3315,S Jefferson Ave,Saint Louis,MO,St. Louis city,63118,US,City of St Louis
"4014 UNION, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"4613 CARRIE, St. Louis, MO",38.680583,-90.228312,0.5,rooftop,4613,Carrie Ave,Saint Louis,MO,St. Louis city,63115,US,City of St Louis
"930 HOLLY HILLS, St. Louis, MO",38.562764,-90.26581,0.6,rooftop,930,Holly Hills Ave,Saint Louis,MO,St. Louis city,63116,US,City of St Louis
"930 HOLLY HILLS, St. Louis, MO",38.562764,-90.26581,0.6,rooftop,930,Holly Hills Ave,Saint Louis,MO,St. Louis city,63116,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"1019 PINE, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"1845 RUSSELL, St. Louis, MO",38.609382,-90.214416,1,rooftop,1845,Russell Blvd,Saint Louis,MO,St. Louis city,63104,US,City of St Louis
"2500 JEFFERSON, St. Louis, MO",38.605799,-90.22227,0.5,rooftop,2500,S Jefferson Ave,Saint Louis,MO,St. Louis city,63104,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"5439 GENEVIEVE, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"2813 OSCEOLA, St. Louis, MO",38.576283,-90.234203,1,rooftop,2813,Osceola St,Saint Louis,MO,St. Louis city,63111,US,City of St Louis
"3843 FLAD, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"305 DE BALIVIERE, St. Louis, MO",38.648711,-90.285304,1,range_interpolation,305,De Baliviere Ave,Saint Louis,MO,St. Louis city,63112,US,TIGER/LineÂ® dataset from the US Census Bureau
"5737 AMELIA, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"2217 LOCUST, St. Louis, MO",38.633934,-90.211304,0.6,rooftop,2217,Locust St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"3447 ARSENAL, St. Louis, MO",38.602599,-90.239294,1,rooftop,3447,Arsenal St,Saint Louis,MO,St. Louis city,63118,US,City of St Louis
"4210 GARFIELD, St. Louis, MO",38.656085,-90.237627,0.8,rooftop,4210,Garfield Ave,Saint Louis,MO,St. Louis city,63113,US,City of St Louis
"4532 CHOUTEAU, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"1131 ANGELICA, St. Louis, MO",38.66627,-90.201616,1,rooftop,1131,Angelica St,Saint Louis,MO,St. Louis city,63107,US,City of St Louis
"4123 LEE, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"3720 LACLEDE, St. Louis, MO",38.630098,-90.239473,1,range_interpolation,3720,Laclede Ln,Saint Louis,MO,St. Louis city,63110,US,TIGER/LineÂ® dataset from the US Census Bureau
"3119 OSCEOLA, St. Louis, MO",38.576891,-90.239062,1,rooftop,3119,Osceola St,Saint Louis,MO,St. Louis city,63111,US,City of St Louis
"5900 GOODFELLOW, St. Louis, MO",38.713287,-90.254745,0.5,range_interpolation,5900,Goodfellow Blvd,Saint Louis,MO,St. Louis city,63147,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"400 4TH, St. Louis, MO",38.629065,-90.186628,0.9,rooftop,400,N 4th St,Saint Louis,MO,St. Louis city,63102,US,City of St Louis
"5916 MINNESOTA, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"2619 WASHINGTON, St. Louis, MO",38.63549,-90.214016,0.6,rooftop,2619,Washington Ave,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"4630 MCMILLAN, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"3919 LABADIE, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"3465 GASCONADE, St. Louis, MO",38.582981,-90.244235,1,rooftop,3465,Gasconade St,Saint Louis,MO,St. Louis city,63118,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"3026 NEWSTEAD, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"3232 GRAND, St. Louis, MO",38.59794,-90.242693,0.5,rooftop,3232,S Grand Blvd,Saint Louis,MO,St. Louis city,63118,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"6200 BROADWAY, St. Louis, MO",38.685747,-90.218851,0.9,rooftop,6200,N Broadway,Saint Louis,MO,St. Louis city,63147,US,City of St Louis
"3106 ALLEN, St. Louis, MO",38.612937,-90.230859,0.6,rooftop,3106,Allen Ave,Saint Louis,MO,St. Louis city,63104,US,City of St Louis
"5322 BARTMER, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"4451 SAN FRANCISCO, St. Louis, MO",38.671879,-90.237045,0.6,rooftop,4451,San Francisco Ave,Saint Louis,MO,St. Louis city,63115,US,City of St Louis
"200 4TH, St. Louis, MO",38.627027,-90.187379,0.9,rooftop,200,N 4th St,Saint Louis,MO,St. Louis city,63102,US,City of St Louis
"200 4TH, St. Louis, MO",38.627027,-90.187379,0.9,rooftop,200,N 4th St,Saint Louis,MO,St. Louis city,63102,US,City of St Louis
"8818 LOWELL, St. Louis, MO",38.724136,-90.226837,1,rooftop,8818,Lowell St,Saint Louis,MO,St. Louis city,63147,US,City of St Louis
"3901 UNION, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"7909 BROADWAY, St. Louis, MO",38.545242,-90.260917,0.9,rooftop,7909,S Broadway,Saint Louis,MO,St. Louis city,63111,US,City of St Louis
"4521 MCMILLAN, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"4676 LOUISIANA, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"1421 CLARK, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"1024 GIMBLIN, St. Louis, MO",38.713134,-90.233856,1,rooftop,1024,Gimblin St,Saint Louis,MO,St. Louis city,63147,US,City of St Louis
"3125 KEOKUK, St. Louis, MO",38.585847,-90.237354,1,rooftop,3125,Keokuk St,Saint Louis,MO,St. Louis city,63118,US,City of St Louis
"6121 HALL, St. Louis, MO",38.688787,-90.211029,1,rooftop,6121,Hall St,Saint Louis,MO,St. Louis city,63147,US,City of St Louis
"6340 PERNOD, St. Louis, MO",38.596973,-90.297076,0.5,range_interpolation,6340,Pernod Ave,Saint Louis,MO,St. Louis city,63139,US,TIGER/LineÂ® dataset from the US Census Bureau
"3501 KINGSHIGHWAY, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"5010 ENRIGHT, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"2765 LASALLE, St. Louis, MO",38.622581,-90.223304,1,rooftop,2765,Lasalle St,Saint Louis,MO,St. Louis city,63104,US,City of St Louis
"4135 CLAY, St. Louis, MO",38.670107,-90.223521,0.6,rooftop,4135,Clay Ave,Saint Louis,MO,St. Louis city,63115,US,City of St Louis
"3403 MONTANA, St. Louis, MO",38.583649,-90.241661,1,rooftop,3403,Montana St,Saint Louis,MO,St. Louis city,63118,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"3642 LACLEDE, St. Louis, MO",38.634419,-90.23545,0.6,rooftop,3642,Laclede Ave,Saint Louis,MO,St. Louis city,63108,US,City of St Louis
"411 22ND, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"5222 LOUISIANA, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"901 WASHINGTON, St. Louis, MO",38.631378,-90.192809,0.6,rooftop,901,Washington Ave,Saint Louis,MO,St. Louis city,63101,US,City of St Louis
"3958 20TH, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"200 TUCKER, St. Louis, MO",38.625725,-90.198441,0.5,rooftop,200,S Tucker Blvd,Saint Louis,MO,St. Louis city,63104,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"2217 OSAGE, St. Louis, MO",38.582602,-90.226047,0.6,rooftop,2217,Osage St,Saint Louis,MO,St. Louis city,63118,US,City of St Louis
"3206 DR MARTIN LUTHER KING, St. Louis, MO",38.64367,-90.224668,1,rooftop,3206,Dr Martin Luther King Dr,Saint Louis,MO,St. Louis city,63106,US,City of St Louis
"3701 LINDELL, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"3927 PALM, St. Louis, MO",38.663629,-90.223997,1,rooftop,3927,Palm St,Saint Louis,MO,St. Louis city,63107,US,City of St Louis
"4649 NEWPORT, St. Louis, MO",38.581435,-90.262249,0.6,rooftop,4649,Newport Ave,Saint Louis,MO,St. Louis city,63116,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"4023 GREEN LEA, St. Louis, MO",38.671555,-90.220784,1,rooftop,4023,Green Lea Pl,Saint Louis,MO,St. Louis city,63107,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"310 15TH, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"3505 GRAND, St. Louis, MO",38.659601,-90.218381,0.5,rooftop,3505,N Grand Blvd,Saint Louis,MO,St. Louis city,63107,US,City of St Louis
"8811 LOWELL, St. Louis, MO",38.724018,-90.227468,1,rooftop,8811,Lowell St,Saint Louis,MO,St. Louis city,63147,US,City of St Louis
"4124 LABADIE, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"4559 GRAVOIS, St. Louis, MO",38.438481,-90.310399,1,range_interpolation,4559,Gravois Rd,Saint Louis,MO,St. Louis County,63129,US,TIGER/LineÂ® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/LineÂ® dataset from the US Census Bureau
"2906 GRAVOIS, St. Louis, MO",38.493598,-90.307695,1,range_interpolation,2906,Gravois Rd,Saint Louis,MO,St. Louis County,63129,US,TIGER/LineÂ® dataset from the US Census Bureau
